episode,reward,mttd,mttr,fpr,csr,compromised
1,-47.45,5,10,0.0301,1,3
2,-82.26,9,200,0.0244,0,2
3,-105.93,13,26,0.0297,1,1
4,-120.72,6,31,0.0262,1,1
5,-179.04,11,46,0.0264,1,1
6,-105.74,9,19,0.0351,1,2
7,-64.67,5,17,0.0257,1,2
8,-19.74,7,8,0.0259,1,2
9,-192.28,24,38,0.0317,1,2
10,-143.96,11,39,0.0239,1,1
11,-104.33,7,29,0.0264,1,1
12,-34.44,5,11,0.0223,1,1
13,-86.32,11,20,0.0278,1,2
14,-85.88,14,22,0.0278,1,1
15,-110.08,4,28,0.0287,1,2
16,-206.88,17,45,0.0297,1,2
17,-116.95,11,34,0.0238,1,2
18,-35.62,8,9,0.0364,1,1
19,-103.94,8,200,0.0308,0,4
20,-60.75,9,15,0.0257,1,1
21,-36.35,8,10,0.0286,1,3
22,-63.38,6,19,0.0257,1,1
23,-131.97,13,29,0.0297,1,2
24,-149.73,16,46,0.0213,1,1
25,-107.96,5,26,0.0259,1,1
26,-104.54,14,21,0.0325,1,2
27,-103.86,9,16,0.0412,1,3
28,-155.33,9,31,0.0320,1,1
29,-35.62,14,15,0.0203,1,1
30,-129.46,17,24,0.0312,1,2
31,-104.79,4,21,0.0300,1,2
32,-126.94,5,25,0.0322,1,3
33,-167.71,17,40,0.0275,1,1
34,-121.05,7,27,0.0296,1,1
35,-99.85,8,26,0.0281,1,1
36,-58.04,4,12,0.0288,1,3
37,-121.52,7,200,0.0343,0,5
38,-237.30,6,38,0.0365,1,1
39,-951.72,7,200,0.0279,0,0
40,-57.25,22,27,0.0172,1,2
41,-75.63,7,19,0.0269,1,2
42,-102.00,6,24,0.0255,1,1
43,-44.81,6,16,0.0220,1,1
44,-83.16,9,17,0.0323,1,2
45,-112.96,10,35,0.0225,1,1
46,-203.98,25,47,0.0270,1,2
47,-105.77,8,19,0.0357,1,2
48,-131.02,20,27,0.0330,1,1
49,-71.49,6,20,0.0263,1,1
50,-973.82,7,200,0.0280,0,0
51,-117.40,10,29,0.0260,1,1
52,-72.52,7,22,0.0284,1,1
53,-49.57,6,18,0.0215,1,1
54,-136.47,19,30,0.0285,1,2
55,-160.28,6,40,0.0246,1,1
56,-44.05,7,15,0.0205,1,2
57,-65.95,4,22,0.0225,1,2
58,-53.61,6,16,0.0285,1,3
59,-137.52,7,38,0.0236,1,1
60,-54.50,7,11,0.0352,1,1
61,-236.22,11,54,0.0290,1,1
62,-117.04,7,29,0.0289,1,1
63,-170.96,13,43,0.0269,1,1
64,-216.38,6,67,0.0226,1,1
65,-137.52,13,37,0.0246,1,1
66,-119.55,25,39,0.0228,1,2
67,-52.17,9,14,0.0307,1,3
68,-16.57,4,6,0.0261,1,1
69,-865.59,9,200,0.0254,0,0
70,-65.44,9,200,0.0197,0,4
71,-785.86,9,200,0.0244,0,0
72,-726.88,4,200,0.0237,0,0
73,-143.88,8,45,0.0230,1,1
74,-137.26,8,30,0.0311,1,1
75,-65.51,4,18,0.0292,1,4
76,-112.13,8,36,0.0239,1,1
77,-55.56,6,200,0.0216,0,4
78,-134.07,9,28,0.0285,1,1
79,-99.10,5,31,0.0213,1,1
80,-190.70,29,46,0.0249,1,1
81,-84.37,11,20,0.0267,1,2
82,-12.99,7,13,0.0139,1,1
83,-141.76,16,40,0.0262,1,2
84,-47.00,8,11,0.0284,1,2
85,-178.33,20,60,0.0227,1,2
86,-35.22,4,11,0.0245,1,1
87,-178.46,16,57,0.0228,1,1
88,-243.81,8,88,0.0229,1,1
89,-105.56,4,36,0.0219,1,1
90,-84.74,21,25,0.0237,1,1
91,-47.77,5,13,0.0223,1,1
92,-99.59,13,35,0.0227,1,2
93,-98.77,17,48,0.0184,1,1
94,-578.02,14,200,0.0201,0,0
95,-70.91,14,47,0.0137,1,1
96,-58.61,13,22,0.0224,1,2
97,-98.47,11,33,0.0215,1,1
98,-38.57,5,22,0.0150,1,2
99,-128.35,13,38,0.0214,1,1
100,-73.05,10,31,0.0187,1,1
101,-45.62,13,16,0.0226,1,1
102,-141.27,12,57,0.0195,1,1
103,-37.76,5,200,0.0138,0,6
104,-82.02,6,200,0.0225,0,4
105,-183.08,14,66,0.0201,1,1
106,-114.55,11,45,0.0202,1,1
107,-2.24,7,9,0.0086,1,1
108,-68.44,7,200,0.0182,0,4
109,-44.58,11,19,0.0190,1,2
