episode,reward,mttd,mttr,fpr,csr,compromised
1,-133.31,9,30,0.0295,1,1
2,-35.62,9,9,0.0304,1,1
3,-185.30,5,43,0.0281,1,1
4,-78.29,10,20,0.0262,1,2
5,-974.76,9,200,0.0286,0,0
6,-51.14,9,16,0.0276,1,1
7,-107.94,9,200,0.0317,0,6
8,-50.48,9,15,0.0247,1,1
9,-12.74,10,11,0.0155,1,2
10,-117.36,12,200,0.0280,0,2
11,-106.37,25,27,0.0277,1,1
12,-169.27,8,40,0.0265,1,1
13,-120.28,6,25,0.0297,1,1
14,-1002.64,15,200,0.0306,0,0
15,-977.64,12,200,0.0296,0,0
16,-20.82,6,7,0.0327,1,1
17,-46.94,8,9,0.0323,1,2
18,-60.07,8,14,0.0342,1,2
19,-126.12,5,25,0.0335,1,3
20,-847.90,29,200,0.0263,0,0
21,-64.05,9,14,0.0311,1,2
22,-91.20,4,24,0.0228,1,1
23,-116.40,13,33,0.0247,1,2
24,-150.45,6,31,0.0320,1,1
25,-105.38,15,25,0.0290,1,2
26,-104.01,12,29,0.0227,1,1
27,-65.03,7,21,0.0247,1,1
28,-108.36,11,26,0.0268,1,1
29,-152.84,9,40,0.0239,1,1
30,-33.50,6,10,0.0245,1,2
31,-239.31,11,55,0.0272,1,1
32,-85.89,11,22,0.0289,1,2
33,-172.95,7,46,0.0263,1,1
34,-143.74,9,37,0.0259,1,1
35,-1006.83,5,200,0.0301,0,0
36,-98.22,7,27,0.0264,1,1
37,-116.65,5,23,0.0312,1,1
38,-188.47,18,36,0.0297,1,1
39,-202.45,26,45,0.0292,1,1
40,-73.74,4,16,0.0295,1,4
41,-179.46,10,48,0.0242,1,1
42,-125.11,11,35,0.0252,1,2
43,-82.24,16,32,0.0194,1,1
44,-75.00,200,200,0.0276,0,5
45,-268.85,15,48,0.0333,1,1
46,-49.84,9,200,0.0220,0,7
47,-49.07,5,16,0.0236,1,1
48,-192.88,4,40,0.0300,1,2
49,-146.13,7,37,0.0244,1,1
50,-75.75,16,18,0.0273,1,2
51,-86.76,6,200,0.0320,0,9
52,-26.50,10,12,0.0233,1,1
53,-299.67,4,83,0.0244,1,1
54,-116.85,11,34,0.0239,1,1
55,-36.42,8,15,0.0235,1,1
56,-42.53,7,14,0.0234,1,3
57,-110.97,5,31,0.0255,1,1
58,-161.53,8,54,0.0194,1,1
59,-855.83,5,200,0.0273,0,0
60,-78.36,7,20,0.0265,1,3
61,-102.75,12,24,0.0293,1,1
62,-42.57,6,11,0.0282,1,2
63,-149.69,8,42,0.0242,1,1
64,-139.35,4,40,0.0264,1,1
65,-127.46,8,38,0.0244,1,1
66,-160.02,25,47,0.0223,1,1
67,-83.25,11,21,0.0276,1,1
68,-144.09,10,46,0.0234,1,1
69,-103.59,15,27,0.0331,1,3
70,-235.04,20,62,0.0259,1,1
71,-81.59,8,25,0.0235,1,1
72,-45.74,12,15,0.0238,1,2
73,-27.17,7,10,0.0239,1,1
74,-56.72,11,25,0.0211,1,1
75,-63.85,7,15,0.0289,1,1
76,-59.37,11,200,0.0221,0,5
77,-104.92,14,38,0.0194,1,1
78,-58.02,9,200,0.0218,0,5
79,-133.22,4,39,0.0239,1,1
80,-66.96,7,21,0.0207,1,1
81,-583.67,8,200,0.0198,0,0
82,-109.24,8,35,0.0224,1,1
83,-154.78,8,40,0.0245,1,1
84,-55.92,11,34,0.0147,1,1
85,-34.86,11,15,0.0225,1,2
86,-84.48,17,41,0.0145,1,1
87,-108.00,22,41,0.0220,1,2
88,-51.43,8,22,0.0210,1,2
89,-52.34,8,28,0.0170,1,1
90,-39.33,12,20,0.0163,1,1
91,-69.32,9,27,0.0207,1,1
92,-29.90,7,18,0.0202,1,2
93,-183.51,23,91,0.0169,1,1
94,-131.06,5,37,0.0232,1,1
95,-544.35,9,200,0.0188,0,0
96,-42.67,16,33,0.0185,1,3
97,-50.75,17,27,0.0164,1,1
98,-61.58,9,41,0.0150,1,1
99,-67.93,7,40,0.0141,1,1
100,-59.58,19,24,0.0196,1,1
101,-155.67,12,76,0.0184,1,1
102,-110.89,8,45,0.0157,1,2
103,-80.34,7,27,0.0193,1,1
104,-13.85,8,9,0.0150,1,3
105,-97.26,14,35,0.0225,1,1
106,-467.83,9,200,0.0176,0,0
107,-87.92,4,31,0.0226,1,1
108,-65.56,5,25,0.0174,1,1
109,-45.69,13,18,0.0184,1,1
110,-446.36,13,200,0.0184,0,0
111,-154.34,14,65,0.0185,1,1
112,-72.00,7,35,0.0166,1,2
113,-94.05,10,59,0.0164,1,1
114,-52.62,22,23,0.0186,1,1
115,-65.48,8,200,0.0195,0,5
116,-366.59,8,200,0.0169,0,0
117,-29.62,20,21,0.0135,1,1
118,-465.87,17,200,0.0178,0,0
119,-46.22,19,46,0.0123,1,2
120,-333.29,12,200,0.0145,0,0
121,-37.82,7,200,0.0154,0,5
122,-77.77,8,47,0.0143,1,1
123,-97.23,8,45,0.0206,1,1
124,-52.86,24,28,0.0176,1,2
125,-18.05,5,16,0.0138,1,3
126,-8.14,13,14,0.0125,1,1
127,-57.84,10,33,0.0185,1,2
128,-142.02,9,61,0.0188,1,1
129,-365.75,15,200,0.0159,0,0
130,-49.41,12,37,0.0121,1,1
131,-144.61,19,84,0.0147,1,1
132,-441.55,10,200,0.0162,0,0
133,-48.54,11,40,0.0136,1,1
134,-71.02,21,52,0.0118,1,1
135,-77.72,18,59,0.0147,1,1
136,-54.89,7,60,0.0098,1,1
137,-44.12,9,200,0.0183,0,5
138,-44.54,22,34,0.0150,1,1
139,-72.79,10,42,0.0156,1,1
140,-65.74,6,44,0.0135,1,1
141,-298.16,17,200,0.0128,0,0
142,-8.12,11,15,0.0115,1,4
143,-40.07,4,200,0.0144,0,5
144,-119.95,11,75,0.0151,1,1
145,-18.82,4,4,0.0350,1,1
146,-302.37,5,200,0.0128,0,0
147,-43.11,12,24,0.0169,1,2
148,-388.30,10,200,0.0159,0,0
149,-273.19,44,153,0.0162,1,1
150,-85.57,5,40,0.0178,1,2
151,-46.52,13,200,0.0196,0,3
152,-57.34,10,70,0.0104,1,1
153,-79.01,19,200,0.0150,0,3
154,-43.37,27,30,0.0166,1,2
155,-53.17,10,200,0.0151,0,3
156,-19.55,12,17,0.0136,1,1
157,-254.48,14,157,0.0146,1,1
158,-92.42,6,88,0.0112,1,1
159,-59.85,9,39,0.0132,1,1
160,-37.18,15,20,0.0156,1,2
161,-282.15,8,200,0.0123,0,0
162,-365.58,14,200,0.0128,0,0
163,-59.73,33,44,0.0132,1,3
164,-70.73,16,33,0.0225,1,2
165,-383.91,22,200,0.0137,0,0
166,-39.67,11,24,0.0161,1,2
167,-69.79,8,44,0.0157,1,1
168,-26.97,13,14,0.0251,1,4
169,-40.84,8,21,0.0173,1,1
170,-145.96,9,101,0.0169,1,1
171,-49.43,16,200,0.0124,0,5
172,-334.15,13,200,0.0146,0,0
173,-3.37,10,12,0.0097,1,1
174,-63.54,15,51,0.0164,1,1
175,-78.31,44,55,0.0131,1,1
176,-30.40,7,200,0.0113,0,5
177,-123.16,29,80,0.0148,1,2
178,-40.04,8,29,0.0178,1,3
179,-300.31,4,200,0.0120,0,0
180,-351.81,7,200,0.0144,0,0
181,-40.72,5,200,0.0157,0,4
182,-270.40,14,200,0.0125,0,0
183,-33.54,22,34,0.0130,1,2
