episode,reward,mttd,mttr,fpr,csr,compromised
1,-260.49,23,83,4.8909,1,1
2,-72.57,7,24,9.4444,1,2
3,-120.92,5,38,7.2222,1,1
4,-100.20,17,36,5.0909,1,1
5,-176.89,4,56,5.6176,1,1
6,-65.14,5,30,5.6923,1,1
7,-82.60,8,25,8.7273,1,1
8,-171.23,8,56,5.5294,1,1
9,-163.87,8,58,3.9545,1,1
10,-170.19,9,56,6.2759,1,1
11,-177.50,17,50,6.1613,1,1
12,-75.17,9,27,7.0833,1,1
13,-169.82,20,47,6.3214,1,1
14,-233.14,14,68,4.8600,1,1
15,-69.00,200,200,6.5556,0,5
16,-233.57,17,76,4.0667,1,1
17,-95.37,9,200,6.6154,0,4
18,-262.49,16,70,6.3864,1,1
19,-205.85,12,69,5.4872,1,1
20,-150.90,6,59,5.2581,1,1
21,-100.90,22,29,8.3846,1,1
22,-122.49,5,200,7.5000,0,4
23,-172.46,9,50,6.3571,1,1
24,-637.66,8,200,5.1532,0,0
25,-181.44,12,75,3.2373,1,1
26,-126.19,16,45,5.0741,1,1
27,-211.94,5,84,4.7391,1,1
28,-217.14,18,79,4.7800,1,1
29,-52.50,10,20,6.1000,1,1
30,-106.87,8,35,4.7600,1,3
31,-122.65,9,38,4.9615,1,1
32,-120.73,5,42,4.4483,1,1
33,-144.43,29,200,4.5333,0,3
34,-114.70,15,45,4.7692,1,1
35,-132.53,4,46,5.1071,1,1
36,-82.20,13,200,5.8333,0,6
37,-150.70,7,45,5.6207,1,2
38,-71.67,7,22,5.1176,1,2
39,-164.56,11,60,4.4872,1,1
40,-83.36,6,31,4.0435,1,1
41,-640.21,10,200,4.5986,0,0
42,-79.05,21,30,4.5789,1,2
43,-148.09,9,49,5.3667,1,1
44,-597.45,16,200,5.0583,0,0
45,-658.93,14,200,4.8248,0,0
46,-88.74,8,31,5.3158,1,1
47,-143.36,7,63,3.7000,1,1
48,-626.15,10,200,5.2049,0,0
49,-612.12,23,200,4.5547,0,0
50,-595.65,10,200,4.4632,0,0
51,-46.27,11,200,6.3333,0,8
52,-651.07,13,200,4.6571,0,0
53,-551.39,12,200,4.1606,0,0
54,-25.32,4,10,7.0000,1,1
55,-310.67,7,108,5.1406,1,1
56,-82.74,14,32,3.8750,1,1
57,-164.89,7,65,3.6042,1,1
58,-611.13,5,200,5.0000,0,0
59,-163.22,28,69,4.5263,1,1
60,-66.98,7,200,5.4545,0,4
61,-111.28,16,43,4.6538,1,2
62,-22.99,9,13,5.6667,1,2
