episode,reward,mttd,mttr,fpr,csr,compromised
1,-72.49,15,17,0.0274,1,2
2,-104.62,7,29,0.0257,1,1
3,-915.99,9,200,0.0282,0,0
4,-144.63,13,34,0.0270,1,2
5,-96.42,13,29,0.0248,1,1
6,-91.63,10,23,0.0278,1,3
7,-106.20,11,21,0.0325,1,3
8,-44.61,6,12,0.0255,1,5
9,-46.22,8,14,0.0268,1,4
10,-95.04,8,23,0.0281,1,4
11,-16.82,4,4,0.0465,1,1
12,-31.94,7,12,0.0214,1,2
13,-256.99,9,64,0.0268,1,2
14,-95.09,16,26,0.0270,1,2
15,-937.61,7,200,0.0284,0,0
16,-71.29,6,21,0.0280,1,4
17,-903.95,14,200,0.0263,0,0
18,-116.54,5,23,0.0289,1,4
19,-821.28,9,200,0.0263,0,0
20,-65.10,13,17,0.0272,1,2
21,-269.57,47,60,0.0290,1,3
22,-167.52,13,40,0.0270,1,4
23,-97.07,9,18,0.0334,1,2
24,-109.68,4,35,0.0237,1,2
25,-60.98,4,14,0.0300,1,2
26,-97.26,9,30,0.0238,1,1
27,-71.62,14,14,0.0316,1,1
28,-230.58,8,43,0.0317,1,1
29,-5.74,7,8,0.0125,1,2
30,-171.92,4,38,0.0271,1,1
31,-64.89,12,19,0.0268,1,3
32,-46.75,12,16,0.0281,1,5
33,-43.80,6,9,0.0342,1,3
34,-34.62,12,12,0.0250,1,1
35,-109.88,11,25,0.0328,1,2
36,-86.32,7,200,0.0233,0,4
37,-57.80,6,12,0.0353,1,4
38,-39.48,12,16,0.0191,1,3
39,-91.52,11,200,0.0263,0,5
40,-75.09,9,200,0.0332,0,3
41,-80.01,7,22,0.0235,1,3
42,-72.25,4,17,0.0263,1,2
43,-67.88,10,200,0.0232,0,2
44,-22.47,9,11,0.0258,1,4
45,-8.82,4,4,0.0265,1,1
46,-93.87,18,31,0.0248,1,1
47,-149.50,6,37,0.0258,1,1
48,-49.74,12,13,0.0255,1,1
49,-7.82,5,5,0.0170,1,1
50,-90.01,7,28,0.0222,1,3
51,-52.81,9,18,0.0195,1,4
52,-25.14,6,11,0.0188,1,1
53,-42.66,11,12,0.0246,1,3
54,-46.21,9,16,0.0234,1,3
55,-129.10,25,51,0.0188,1,1
56,-165.18,4,36,0.0280,1,1
57,-134.20,11,28,0.0355,1,2
58,-56.83,5,21,0.0212,1,4
59,-943.51,9,200,0.0279,0,0
60,-54.74,11,14,0.0276,1,2
61,-845.84,12,200,0.0264,0,0
62,-62.25,6,14,0.0274,1,2
63,-50.73,12,21,0.0216,1,4
64,-55.02,11,18,0.0232,1,2
65,-95.64,7,32,0.0203,1,1
66,-43.80,7,19,0.0172,1,3
67,-108.84,14,41,0.0206,1,3
68,-99.50,9,25,0.0227,1,3
69,-83.24,8,200,0.0247,0,5
70,-107.75,21,200,0.0255,0,3
71,-138.94,9,39,0.0233,1,2
72,-61.00,6,18,0.0261,1,2
73,-56.62,14,14,0.0280,1,1
74,-102.84,11,30,0.0257,1,4
75,-75.82,13,30,0.0245,1,3
76,-104.47,9,33,0.0240,1,1
77,-86.11,17,29,0.0238,1,2
78,-187.38,11,55,0.0234,1,1
79,-44.99,12,18,0.0222,1,2
80,-77.16,8,27,0.0193,1,1
81,-133.21,12,52,0.0212,1,1
82,-105.01,29,43,0.0183,1,4
83,-42.12,6,12,0.0233,1,3
84,-46.18,4,200,0.0148,0,4
85,-100.00,4,48,0.0167,1,4
86,-38.74,14,15,0.0212,1,2
87,-40.54,7,18,0.0204,1,2
88,-67.85,14,17,0.0264,1,3
89,-60.99,8,33,0.0144,1,2
90,-142.37,11,54,0.0181,1,3
91,-64.62,24,24,0.0196,1,1
92,-59.62,6,24,0.0243,1,5
93,-96.84,11,36,0.0225,1,2
94,-458.10,12,200,0.0180,0,0
95,-62.29,7,22,0.0214,1,2
96,-6.59,6,13,0.0113,1,3
97,-89.85,8,200,0.0259,0,2
98,-96.17,8,62,0.0148,1,1
99,-254.70,9,113,0.0189,1,1
100,-88.80,10,62,0.0114,1,1
101,-199.28,17,91,0.0174,1,1
102,-78.82,10,41,0.0163,1,2
103,-114.01,14,59,0.0149,1,3
104,-36.92,17,25,0.0153,1,2
105,-35.69,7,200,0.0147,0,7
106,-41.02,11,26,0.0143,1,4
107,-115.24,24,57,0.0165,1,2
108,-9.85,8,9,0.0141,1,3
109,-46.49,5,23,0.0188,1,1
110,-74.98,19,44,0.0151,1,1
111,-32.09,4,13,0.0219,1,3
112,-82.77,20,57,0.0142,1,1
113,-44.44,7,20,0.0193,1,3
114,-25.71,9,21,0.0103,1,2
115,-78.97,14,49,0.0177,1,3
116,-99.33,8,35,0.0189,1,1
117,-101.79,12,53,0.0166,1,2
118,-3.82,4,4,0.0175,1,1
119,-51.42,11,22,0.0180,1,4
120,-12.57,13,21,0.0120,1,3
121,-249.60,29,131,0.0159,1,1
122,-122.43,6,67,0.0161,1,1
123,-83.37,10,40,0.0163,1,3
124,-104.74,49,49,0.0214,1,2
125,-42.86,7,31,0.0141,1,2
126,-22.49,7,200,0.0084,0,8
127,-31.32,16,200,0.0118,0,8
128,0.18,4,4,0.0193,1,1
129,-12.62,12,12,0.0197,1,1
130,-129.93,4,62,0.0166,1,1
131,-64.15,6,31,0.0178,1,3
132,-20.98,9,21,0.0129,1,4
133,-95.12,8,67,0.0133,1,2
134,-14.60,11,13,0.0186,1,3
135,-481.23,9,200,0.0171,0,0
136,-44.63,21,41,0.0131,1,2
137,-52.57,9,24,0.0183,1,1
138,-161.13,11,71,0.0185,1,1
139,-214.89,12,98,0.0185,1,1
140,-83.69,4,37,0.0206,1,1
141,-47.24,10,23,0.0161,1,3
142,-45.72,8,200,0.0173,0,5
143,-4.82,4,4,0.0175,1,1
144,-61.38,4,37,0.0164,1,1
145,-69.67,11,46,0.0155,1,1
146,0.18,4,5,0.0279,1,1
147,-59.23,10,29,0.0178,1,3
148,-66.42,13,62,0.0111,1,1
149,-32.57,13,200,0.0125,0,3
150,3.86,6,6,0.0133,1,2
151,-60.36,9,35,0.0140,1,1
152,-90.76,11,73,0.0130,1,1
153,-19.19,14,25,0.0108,1,1
154,-10.24,12,24,0.0100,1,2
155,-60.10,19,200,0.0106,0,5
156,-108.11,9,53,0.0181,1,1
157,-43.99,5,45,0.0108,1,1
158,-142.63,4,78,0.0162,1,1
159,-62.88,8,37,0.0146,1,2
160,-26.66,8,200,0.0125,0,6
161,-36.91,18,26,0.0122,1,4
162,-74.19,9,41,0.0163,1,2
163,-13.94,7,10,0.0130,1,1
164,-139.77,7,71,0.0160,1,1
165,-35.30,5,15,0.0201,1,5
166,-120.70,4,71,0.0174,1,1
167,-420.19,8,200,0.0164,0,0
168,-413.96,7,200,0.0164,0,0
169,-38.60,12,200,0.0135,0,7
170,-77.69,9,44,0.0138,1,3
171,-59.51,8,36,0.0139,1,3
172,-117.88,16,78,0.0139,1,1
173,-49.06,22,30,0.0161,1,4
174,6.86,4,4,0.0091,1,2
175,-21.05,14,22,0.0155,1,2
176,-71.56,8,200,0.0183,0,2
177,-8.94,6,7,0.0155,1,2
178,-29.09,11,21,0.0150,1,2
179,-87.33,5,50,0.0139,1,3
180,-42.15,12,30,0.0144,1,2
181,-50.07,12,37,0.0120,1,2
182,-0.62,12,12,0.0088,1,1
183,-14.56,12,31,0.0090,1,2
184,-28.74,25,26,0.0177,1,2
185,-46.61,5,21,0.0184,1,2
186,-106.37,25,57,0.0153,1,2
187,-1.82,4,4,0.0167,1,1
188,-30.25,5,24,0.0138,1,4
189,-373.41,11,200,0.0141,0,0
190,-64.57,12,35,0.0153,1,1
191,-2.98,7,11,0.0102,1,3
192,-36.83,7,19,0.0167,1,1
193,-43.41,8,34,0.0137,1,3
194,-26.02,8,15,0.0197,1,2
195,-26.31,19,33,0.0112,1,2
196,-65.58,10,48,0.0103,1,3
197,-407.65,19,200,0.0175,0,0
198,-51.24,11,46,0.0103,1,3
199,-70.10,22,28,0.0203,1,3
200,-145.82,7,65,0.0165,1,1
201,-117.74,13,88,0.0123,1,1
202,-16.00,6,8,0.0215,1,3
203,-23.00,200,200,0.0118,0,5
204,-106.14,9,75,0.0135,1,1
205,-12.94,8,15,0.0139,1,4
206,-46.93,18,29,0.0158,1,3
207,-12.29,10,18,0.0108,1,2
208,-23.78,6,17,0.0155,1,3
209,-12.98,13,26,0.0114,1,3
210,-35.12,11,20,0.0154,1,1
211,-48.71,13,37,0.0151,1,1
212,-10.69,7,9,0.0195,1,2
213,-23.00,7,25,0.0161,1,2
214,-65.17,12,34,0.0160,1,1
215,-19.38,4,21,0.0105,1,1
216,-27.62,14,14,0.0226,1,1
217,-19.58,9,20,0.0125,1,5
218,-34.39,4,23,0.0134,1,3
219,-40.11,15,27,0.0132,1,2
220,-38.13,12,29,0.0146,1,4
221,-47.03,16,28,0.0178,1,1
222,-28.49,10,12,0.0177,1,2
223,-60.55,7,37,0.0161,1,2
224,-63.46,5,32,0.0171,1,5
225,-67.89,11,50,0.0123,1,1
226,-36.02,13,20,0.0140,1,2
227,-0.97,7,10,0.0101,1,4
228,-103.50,6,200,0.0175,0,5
229,-89.26,8,46,0.0150,1,1
230,-35.86,9,13,0.0185,1,1
231,-72.04,8,37,0.0158,1,1
232,2.31,6,8,0.0103,1,2
233,-23.62,9,23,0.0121,1,3
234,-69.05,13,34,0.0182,1,1
235,-44.79,5,44,0.0114,1,2
236,-112.77,10,53,0.0182,1,3
237,-16.62,19,19,0.0110,1,1
238,-38.99,30,36,0.0130,1,2
239,-330.45,6,200,0.0131,0,0
240,-107.17,7,43,0.0190,1,1
241,-98.36,13,66,0.0138,1,2
242,-64.02,4,36,0.0145,1,5
243,-105.32,12,69,0.0176,1,1
244,-10.49,7,9,0.0128,1,2
