episode,reward,mttd,mttr,fpr,csr,compromised
1,-5.68,6,8,0.0100,1,2
2,-15.37,6,14,0.0093,1,4
3,-30.35,7,18,0.0103,1,1
4,-65.01,10,37,0.0104,1,1
5,-28.31,13,22,0.0089,1,4
6,-18.76,7,14,0.0107,1,2
7,-31.96,12,16,0.0128,1,2
8,-22.81,12,13,0.0119,1,2
9,-28.82,11,23,0.0094,1,1
10,-430.27,9,200,0.0106,0,0
11,-39.59,7,23,0.0120,1,1
12,-30.24,11,200,0.0084,0,6
13,-11.32,9,10,0.0110,1,1
14,-53.66,7,200,0.0096,0,3
15,-52.52,5,32,0.0099,1,1
16,-17.18,9,13,0.0116,1,1
17,-14.96,6,15,0.0077,1,1
18,-54.48,9,29,0.0105,1,1
19,-72.96,10,38,0.0109,1,1
20,-24.49,6,200,0.0064,0,4
21,-18.27,8,12,0.0117,1,3
22,-14.37,9,15,0.0090,1,1
23,-396.25,9,200,0.0103,0,0
24,-26.39,5,18,0.0108,1,2
25,-22.25,7,17,0.0103,1,1
26,-412.86,6,200,0.0104,0,0
27,-68.18,7,41,0.0098,1,1
28,-58.55,8,200,0.0102,0,2
29,-0.32,7,8,0.0075,1,1
30,-31.79,8,24,0.0090,1,1
31,-62.44,11,200,0.0108,0,3
32,-429.40,7,200,0.0110,0,0
33,-436.39,9,200,0.0108,0,0
34,-30.17,7,16,0.0135,1,2
35,-414.86,5,200,0.0104,0,0
36,-74.06,7,39,0.0113,1,1
37,-8.51,7,10,0.0105,1,2
38,-416.59,8,200,0.0105,0,0
39,-11.17,7,13,0.0089,1,1
40,-29.38,5,23,0.0094,1,2
41,-459.11,5,200,0.0115,0,0
42,-61.21,6,32,0.0119,1,1
43,-48.87,12,200,0.0111,0,7
44,-394.03,6,200,0.0100,0,0
45,-431.18,9,200,0.0107,0,0
46,-51.41,7,28,0.0122,1,2
47,-32.45,8,22,0.0105,1,3
48,-17.37,4,14,0.0100,1,5
49,-14.65,5,9,0.0139,1,3
50,4.06,4,4,0.0063,1,1
51,-78.60,13,38,0.0119,1,2
52,-59.67,10,32,0.0111,1,1
53,-43.96,8,22,0.0127,1,2
54,-39.33,10,31,0.0086,1,1
55,-405.81,7,200,0.0103,0,0
56,-68.51,6,33,0.0120,1,2
57,-34.07,6,22,0.0107,1,2
58,-59.16,7,39,0.0090,1,1
59,-20.33,8,13,0.0131,1,4
60,-28.68,7,18,0.0108,1,3
61,-34.79,6,200,0.0072,0,7
62,-434.30,6,200,0.0110,0,0
63,-60.31,5,37,0.0095,1,1
64,-33.72,6,24,0.0098,1,1
65,-44.16,17,30,0.0092,1,1
66,-373.21,8,200,0.0090,0,0
67,-30.79,12,22,0.0086,1,1
68,-12.29,5,14,0.0072,1,1
69,-33.04,9,20,0.0103,1,2
70,-38.18,7,29,0.0090,1,1
71,-60.50,5,29,0.0135,1,1
72,-20.13,7,18,0.0086,1,1
73,-42.08,10,27,0.0104,1,2
74,-42.40,7,28,0.0107,1,2
75,-29.17,7,20,0.0088,1,1
76,-13.54,4,12,0.0100,1,1
77,-57.74,10,32,0.0106,1,1
78,-70.94,4,38,0.0111,1,1
79,-23.77,5,22,0.0080,1,2
80,-48.49,8,24,0.0125,1,1
81,-22.48,10,20,0.0095,1,2
82,-16.48,7,14,0.0100,1,1
83,-3.05,8,12,0.0058,1,1
84,-55.12,9,28,0.0122,1,2
85,-414.54,8,200,0.0102,0,0
86,-75.88,6,53,0.0081,1,1
87,-21.31,8,15,0.0120,1,3
88,-20.23,7,15,0.0104,1,1
89,-18.69,11,18,0.0078,1,3
90,-8.02,5,8,0.0125,1,4
91,-15.86,10,17,0.0082,1,2
92,-69.44,8,32,0.0127,1,1
93,-16.78,14,17,0.0085,1,2
94,-46.79,14,26,0.0118,1,2
95,-61.22,7,31,0.0116,1,1
96,-62.98,6,31,0.0129,1,1
97,-19.86,4,13,0.0119,1,2
98,-35.08,7,26,0.0089,1,1
99,-47.04,5,28,0.0097,1,1
100,-21.53,6,12,0.0129,1,2
101,-65.83,5,33,0.0117,1,1
102,-34.48,7,200,0.0097,0,3
103,-77.14,13,42,0.0106,1,1
104,-40.49,8,25,0.0106,1,1
105,-21.68,8,15,0.0110,1,2
106,-13.18,6,10,0.0115,1,2
107,-9.90,6,16,0.0075,1,1
108,-18.21,4,14,0.0104,1,1
109,-38.95,9,22,0.0125,1,3
110,-35.19,9,22,0.0105,1,1
111,-16.54,4,13,0.0108,1,1
112,-68.08,28,43,0.0092,1,1
113,-21.22,7,12,0.0129,1,1
114,-7.79,8,12,0.0075,1,2
115,-27.20,11,17,0.0109,1,2
116,-49.15,10,200,0.0128,0,3
117,-26.18,9,17,0.0118,1,3
118,-56.67,8,23,0.0152,1,1
119,-8.32,5,9,0.0106,1,3
120,-407.94,6,200,0.0099,0,0
121,-26.40,11,21,0.0100,1,5
122,-17.01,8,13,0.0104,1,3
123,-72.50,6,39,0.0109,1,1
