episode,reward,mttd,mttr,fpr,csr,compromised
1,-89.67,11,22,0.0236,1,2
2,-79.30,4,20,0.0248,1,2
3,-57.44,9,18,0.0194,1,1
4,-102.15,6,200,0.0273,0,3
5,-930.54,7,200,0.0249,0,0
6,-145.67,4,38,0.0224,1,1
7,-11.97,4,5,0.0239,1,1
8,-32.47,12,14,0.0179,1,2
9,-96.06,21,27,0.0229,1,1
10,-12.78,12,13,0.0111,1,1
11,-30.97,8,20,0.0151,1,1
12,-214.55,9,200,0.0089,0,0
13,-23.31,11,36,0.0084,1,1
14,-16.78,6,42,0.0063,1,1
15,-104.57,19,200,0.0038,0,0
16,-42.04,24,78,0.0052,1,1
17,-13.52,8,36,0.0069,1,1
18,-2.04,8,39,0.0026,1,2
19,-14.98,11,200,0.0052,0,6
20,-5.37,9,28,0.0054,1,2
21,-54.82,4,112,0.0056,1,1
22,-5.23,18,30,0.0072,1,1
23,-17.17,11,200,0.0061,0,3
24,-3.38,7,20,0.0061,1,1
25,-15.56,15,200,0.0045,0,6
26,6.21,8,22,0.0022,1,1
27,-13.34,11,200,0.0014,0,3
28,-115.59,18,200,0.0058,0,0
29,-119.58,14,200,0.0052,0,0
30,-19.14,5,45,0.0052,1,1
31,-110.65,37,200,0.0051,0,0
32,-20.33,6,200,0.0039,0,4
33,-95.26,9,200,0.0043,0,0
34,-94.67,13,200,0.0047,0,0
35,-103.89,5,200,0.0048,0,0
36,-101.89,26,200,0.0050,0,0
37,-5.92,6,49,0.0032,1,1
38,-23.04,6,200,0.0032,0,4
39,-9.89,6,44,0.0041,1,1
40,-22.24,18,81,0.0040,1,1
41,-43.99,6,141,0.0036,1,1
42,-86.52,6,200,0.0040,0,0
43,-61.23,7,200,0.0025,0,0
44,-85.05,21,200,0.0046,0,0
45,-64.35,8,200,0.0032,0,1
46,10.61,7,17,0.0018,1,1
47,-7.03,6,36,0.0045,1,1
48,-61.00,11,200,0.0031,0,0
49,-63.03,10,200,0.0024,0,0
50,-64.86,14,200,0.0033,0,1
51,-32.30,11,56,0.0068,1,1
52,-0.79,6,31,0.0039,1,1
53,-60.45,10,200,0.0026,0,0
54,-6.27,10,30,0.0062,1,1
55,-67.44,13,200,0.0033,0,0
56,-3.95,15,42,0.0042,1,1
57,-4.11,20,59,0.0027,1,1
58,-56.10,16,200,0.0019,0,0
59,-25.94,8,121,0.0036,1,1
60,-24.41,16,65,0.0059,1,1
61,-5.73,19,49,0.0027,1,2
62,-63.46,12,200,0.0030,0,0
63,-4.86,14,33,0.0041,1,2
64,-13.16,7,200,0.0031,0,3
65,-51.14,14,200,0.0026,0,0
66,-5.86,12,27,0.0040,1,2
67,-11.26,5,200,0.0008,0,5
68,-63.01,8,200,0.0026,0,0
69,-65.90,13,200,0.0024,0,0
70,-19.58,9,120,0.0020,1,2
71,-67.99,10,200,0.0027,0,0
72,-1.25,16,54,0.0018,1,2
73,-74.37,38,200,0.0029,0,0
74,-5.70,9,76,0.0020,1,1
75,-12.70,11,200,0.0026,0,3
76,-3.29,11,52,0.0031,1,2
77,5.71,10,26,0.0019,1,1
78,-66.20,20,200,0.0033,0,0
79,-15.22,19,43,0.0063,1,1
80,-21.29,17,76,0.0034,1,2
81,1.35,18,29,0.0040,1,1
82,-11.74,18,200,0.0004,0,5
83,-43.03,27,200,0.0016,0,0
84,-21.92,6,93,0.0028,1,1
85,0.14,10,35,0.0013,1,1
86,-1.09,10,34,0.0036,1,2
87,-6.85,20,72,0.0014,1,1
88,-3.32,12,27,0.0041,1,1
89,-45.09,5,200,0.0022,0,0
90,-39.59,37,182,0.0026,1,1
91,-0.74,24,54,0.0018,1,1
92,-20.05,14,200,0.0063,0,4
93,-59.38,20,200,0.0028,0,0
94,-1.36,29,54,0.0015,1,1
95,-24.12,7,64,0.0049,1,1
96,2.83,15,29,0.0029,1,1
97,-8.75,12,46,0.0043,1,2
98,-10.63,8,200,0.0015,0,4
99,3.75,7,30,0.0034,1,1
100,-18.19,26,51,0.0054,1,1
101,8.97,8,8,0.0028,1,1
102,-0.62,14,30,0.0032,1,1
103,0.88,20,39,0.0017,1,1
104,-9.69,12,91,0.0026,1,2
105,-38.75,13,200,0.0015,0,0
106,-14.34,17,200,0.0018,0,7
107,-41.49,13,99,0.0054,1,1
108,-16.20,21,200,0.0030,0,6
109,-1.78,23,26,0.0052,1,1
110,-67.31,21,200,0.0033,0,0
111,-32.74,8,69,0.0052,1,1
112,-14.13,8,48,0.0036,1,1
113,-6.75,7,52,0.0039,1,1
114,-20.74,12,47,0.0064,1,1
115,-25.28,10,44,0.0083,1,1
116,-7.61,12,27,0.0063,1,2
117,-45.01,6,67,0.0088,1,1
118,-19.73,15,46,0.0064,1,1
119,-7.40,11,46,0.0029,1,1
120,-25.64,6,55,0.0058,1,1
121,-3.46,9,28,0.0048,1,1
122,-24.46,7,44,0.0081,1,1
123,-11.31,7,43,0.0058,1,1
124,-1.32,14,65,0.0026,1,1
125,-28.72,22,35,0.0107,1,1
126,-63.08,14,200,0.0037,0,0
127,-60.54,11,200,0.0036,0,0
128,-82.67,16,200,0.0039,0,0
129,-112.44,11,200,0.0051,0,0
130,-22.21,12,200,0.0070,0,3
131,-203.15,19,200,0.0102,0,0
132,-23.93,31,56,0.0075,1,1
133,7.55,10,10,0.0000,1,1
134,-40.05,9,85,0.0056,1,1
135,-16.90,14,52,0.0055,1,2
136,-72.80,17,77,0.0112,1,1
137,-54.26,9,200,0.0032,0,0
138,-68.09,16,200,0.0038,0,0
139,-149.53,19,200,0.0079,0,0
140,-82.07,17,55,0.0171,1,1
141,1.85,19,41,0.0022,1,1
142,-19.58,13,73,0.0040,1,1
143,-141.69,11,200,0.0072,0,0
144,-12.25,11,35,0.0053,1,2
145,-32.51,18,46,0.0093,1,1
146,-58.04,18,200,0.0141,0,7
147,-28.95,14,59,0.0064,1,1
148,-8.03,15,200,0.0000,0,7
149,-8.74,12,200,0.0018,0,5
150,7.43,13,24,0.0018,1,2
151,-15.22,16,36,0.0075,1,1
152,-189.91,10,200,0.0099,0,0
153,-172.06,14,200,0.0096,0,0
154,-13.86,12,38,0.0069,1,1
155,-9.49,8,200,0.0016,0,5
156,-109.22,39,200,0.0064,0,0
157,-30.23,6,200,0.0118,0,2
158,5.15,13,50,0.0013,1,2
159,-16.84,4,48,0.0041,1,2
160,-29.17,14,42,0.0096,1,1
161,-97.77,22,200,0.0045,0,0
162,-98.64,5,94,0.0100,1,1
163,-29.24,58,59,0.0071,1,2
164,-47.84,14,47,0.0112,1,2
165,-33.72,18,40,0.0108,1,1
166,-30.88,8,53,0.0083,1,3
167,-31.29,12,200,0.0125,0,6
168,-223.05,17,200,0.0116,0,0
169,-140.87,15,200,0.0071,0,0
170,-148.37,39,200,0.0082,0,0
171,-8.07,11,47,0.0034,1,1
172,-5.08,5,28,0.0046,1,1
173,-37.62,11,37,0.0165,1,1
174,-67.06,12,200,0.0041,0,0
175,-16.64,13,116,0.0023,1,1
176,-54.51,6,200,0.0029,0,0
177,-53.40,9,200,0.0037,0,0
178,5.93,17,29,0.0014,1,1
179,-28.65,6,200,0.0082,0,5
180,-20.30,6,58,0.0062,1,1
181,-63.31,14,76,0.0087,1,2
182,-104.74,7,200,0.0073,0,0
183,-23.67,6,53,0.0062,1,1
184,-13.67,25,59,0.0048,1,2
185,1.19,6,62,0.0013,1,1
