Device: cpu, Seed: 42
Starting training: 10000 episodes, K=10
============================================================
Episode    100 | Avg Reward:  -110.14 | MTTD: 101 | MTTR: 200 | FPR: 0.221 | CSR: 0
Episode   5700 | Avg Reward:     4.49 | MTTD:   6 | MTTR:  41 | FPR: 0.214 | CSR: 1
Episode   5800 | Avg Reward:     4.92 | MTTD:  17 | MTTR:  19 | FPR: 0.333 | CSR: 1
Episode   5900 | Avg Reward:     4.10 | MTTD:   7 | MTTR:   8 | FPR: 0.000 | CSR: 1
Episode   6000 | Avg Reward:     4.55 | MTTD:   8 | MTTR:  12 | FPR: 1.000 | CSR: 1
Episode   6100 | Avg Reward:     3.05 | MTTD:  10 | MTTR:  36 | FPR: 0.250 | CSR: 1
Episode   6200 | Avg Reward:     3.14 | MTTD:  14 | MTTR: 200 | FPR: 0.132 | CSR: 0
Episode   6300 | Avg Reward:     3.07 | MTTD:  10 | MTTR: 200 | FPR: 0.209 | CSR: 0
Episode   6400 | Avg Reward:     2.20 | MTTD:   7 | MTTR:  32 | FPR: 0.545 | CSR: 1
Episode   6500 | Avg Reward:     3.05 | MTTD:   7 | MTTR: 200 | FPR: 0.165 | CSR: 0
Episode   6600 | Avg Reward:     2.46 | MTTD:   5 | MTTR:  74 | FPR: 0.173 | CSR: 1
Episode   6700 | Avg Reward:     1.52 | MTTD:  12 | MTTR:  18 | FPR: 0.071 | CSR: 1
Episode   6800 | Avg Reward:     3.91 | MTTD:   6 | MTTR: 200 | FPR: 0.218 | CSR: 0
Episode   6900 | Avg Reward:     1.87 | MTTD:  12 | MTTR: 200 | FPR: 0.100 | CSR: 0
Episode   7000 | Avg Reward:     4.56 | MTTD:   5 | MTTR: 200 | FPR: 0.300 | CSR: 0
Episode   7100 | Avg Reward:     2.88 | MTTD:   6 | MTTR: 200 | FPR: 0.298 | CSR: 0
Episode   7200 | Avg Reward:     2.82 | MTTD:   8 | MTTR:  19 | FPR: 0.538 | CSR: 1
Episode   7300 | Avg Reward:     2.26 | MTTD:  11 | MTTR: 200 | FPR: 0.181 | CSR: 0
Episode   7400 | Avg Reward:     3.49 | MTTD:   5 | MTTR:  13 | FPR: 0.000 | CSR: 1
